X	Y	Z
-28409.628229	38728.463819	-5000.000000
-27933.302017	32231.382849	-5000.000000
-26419.790187	29685.559694	-5000.000000
-24815.097414	27577.752169	-5000.000000
-22876.487698	25266.285671	-5000.000000
-21818.175910	23245.415616	-5000.000000
-20759.915050	21224.604302	-5000.000000
-18500.225240	19034.936218	-5000.000000
-17537.211441	16684.817787	-5000.000000
-16456.896298	14122.241560	-5000.000000
-14925.443831	11143.522386	-5000.000000
-10606.143113	9037.364836	-5000.000000
-7830.622843	7520.765406	-5000.000000
-4608.631502	5696.495163	-5000.000000
-3480.974227	4656.375699	-5000.000000
1259.355234	179.827570	-5000.000000
3492.614302	-1358.150366	-5000.000000
4984.829668	-3360.112666	-5000.000000
9979.963107	-6088.531846	-5000.000000
14367.147400	-7213.101098	-5000.000000
18326.550312	-11176.515087	-5000.000000
21651.821760	-12886.360566	-5000.000000
24612.272005	-13634.187913	-5000.000000
30294.152846	-14596.720434	-5000.000000
32895.981783	-17203.503275	-5000.000000
34841.098995	-22332.423185	-5000.000000
38738.386827	-24777.381864	-5000.000000
41899.531057	-27794.534234	-5000.000000
46758.042833	-29874.026879	-5000.000000
