x,y,z	
-5126.613901,8729.478853,-22200.000000
6076.714757,9199.917308,-21400.000000
5732.211750,-13397.156558,-5000.000000
4871.831868,-10195.806210,-5000.000000
-8506.913312,15663.835838,-9000.000000
-246.081200,-11587.905144,-5000.000000
1544.699063,-6914.002645,-100.000000
4366.481268,-10866.464606, -0.000000
-9990.394054,26941.796099,-16700.000000
-4312.444794,9404.323894,-20700.000000
7900.938008,-5840.083942,-100.000000
6423.148595,-19590.873940,-5000.000000
5582.363423,-994.915866,-24700.000000
9793.014271,-9472.320816,-200.000000
-8746.907822,-21221.902653,-100.000000
-8152.327363,20098.622342,-20100.000000
3655.815303,-11539.655070,-5000.000000
14977.878588,-31561.278522,-100.000000
-989.632630,-17799.518322,-5000.000000
1791.136719,-10233.549160, -0.000000
-10096.201179,27161.940639, -0.000000
-7641.014623,28411.756377, -0.000000
3945.076670,-1568.493332,-5000.000000
-11119.924597,26705.656561,-15500.000000
645.604978,16000.509330,-17300.000000
1266.877044,15675.878747,-18200.000000
-5790.624855,-3683.654988, -0.000000
-13439.946833,30884.136611,-100.000000
8774.255304,-18787.361626, -0.000000
3635.439770,15483.204203,-23500.000000
4320.630165,-7101.472990,-5000.000000
-6776.212008,33295.892593,-5000.000000
-7996.179423,23977.047855,-16500.000000
-8146.100825,35715.051177,-5000.000000
3531.237346,15592.692452,-25200.000000
-13276.922334,18481.382833,-10500.000000
-4858.847266,11944.758097,-14000.000000
-6315.630207,21340.377942,-15200.000000
-5782.848220,19907.340359,-16200.000000
-5467.463070,11272.509391,-15600.000000
-5471.684801,11604.719968,-15700.000000
-402.728328,-23662.209801, -0.000000
-3072.905140,17172.657285,-15200.000000
-10066.145789,24836.458846,-19600.000000
-9472.900385,42786.316278,-100.000000
-7475.898879,23540.681662,-23000.000000
4247.276560,15933.584034,-45800.000000
-21502.272572,17927.755152,-5000.000000
-6236.737975,15139.138152,-16200.000000
-3227.780062,-3208.007825,-5000.000000
-6461.881528,8601.705824,-14800.000000
9088.631877,-10698.901889,-5000.000000
-14866.202184,37510.831952, -0.000000
-7867.742389,21985.106455,-17900.000000
-3691.559523,17275.652249,-26300.000000
-12843.869309,24689.534901,-8800.000000
-7353.184486,21991.686244,-14500.000000
6221.945121,5657.712377,-26500.000000
-9708.708187,21075.376137,-18000.000000
-9708.708187,21075.376137,-18000.000000
6456.274442,11862.398649,-19400.000000
-14592.259822,24555.754164,-5000.000000
-10026.030345,21735.808126,-20300.000000
-10673.682094,24053.297228,-18900.000000
-10416.503819,28043.845280,-100.000000
2052.101673,1952.414078,-24600.000000
-10210.320466,20072.074104,-17900.000000
2684.990300,631.152938,-21000.000000
-8369.504752,20981.876610,-17700.000000
-8782.551093,21087.322184,-17900.000000
-2689.443786,11196.809842,-23800.000000
12527.421757,11601.385806,-25400.000000
-7168.837031,7595.842211,-26100.000000
-3694.095720,9301.375900,-26900.000000
3477.295373,-5339.733511,-34400.000000
2809.416856,7277.715309,-27000.000000
-1878.305302,20399.362143,-16500.000000
-8148.063747,19766.411156,-14300.000000
-8636.463115,1817.530094, -0.000000
-16487.811405,12346.872895, -0.000000
-961.428706,4573.215482,-25300.000000
