x,y,z	
173639.685456,-1534988.610566,-22200.000000
166990.220745,-1533719.593604,-21400.000000
165311.946905,-1547227.530262,-5000.000000
166093.712283,-1545391.998085,-5000.000000
176228.542823,-1531157.223720,-9000.000000
169041.263804,-1546675.293132,-5000.000000
168357.451854,-1543727.215110,-100.000000
166340.323432,-1545837.148936, -0.000000
178040.646371,-1524581.364798,-16700.000000
173209.374837,-1534515.160383,-20700.000000
164644.641155,-1542523.668018,-100.000000
164381.729209,-1550867.196703,-5000.000000
166435.392427,-1539839.016743,-24700.000000
163208.960980,-1544523.529397,-200.000000
173337.272272,-1553177.996393,-100.000000
176382.249726,-1528488.081746,-20100.000000
166709.674220,-1546301.983417,-5000.000000
158249.691333,-1557267.705704,-100.000000
168971.803983,-1550451.397552,-5000.000000
167934.311697,-1545686.904235, -0.000000
178121.766846,-1524459.828857, -0.000000
176762.454289,-1523502.138128, -0.000000
167366.390036,-1540326.045995,-5000.000000
178694.011150,-1524820.522613,-15500.000000
170797.121965,-1530151.807482,-17300.000000
170399.582875,-1530290.105717,-18200.000000
173012.007514,-1542445.585701, -0.000000
180418.381156,-1522541.206083,-100.000000
163040.074878,-1550178.377895, -0.000000
168970.685386,-1530195.314914,-23500.000000
166681.203419,-1543593.721067,-5000.000000
176650.300578,-1520525.678562,-5000.000000
176608.632613,-1526168.507252,-16500.000000
177664.867919,-1519209.905200,-5000.000000
169041.957883,-1530139.384493,-25200.000000
179304.631828,-1529898.225331,-10500.000000
173745.366962,-1533050.571646,-14000.000000
175389.758109,-1527588.531160,-15200.000000
174953.915134,-1528393.902927,-16200.000000
174053.079833,-1533504.264458,-15600.000000
174083.021073,-1533306.851709,-15700.000000
168134.398675,-1553904.555426, -0.000000
173112.079901,-1529782.242709,-15200.000000
177912.663387,-1525839.076896,-19600.000000
179036.142633,-1515131.355414,-100.000000
176262.663513,-1526382.254013,-23000.000000
168643.223420,-1529873.142884,-45800.000000
184163.862475,-1530943.067594,-5000.000000
174831.147239,-1531270.322987,-16200.000000
171518.853970,-1541936.687845,-5000.000000
174426.319390,-1535181.952455,-14800.000000
163527.935568,-1545318.440869,-5000.000000
181809.966711,-1518732.092933, -0.000000
176368.003375,-1527341.392918,-17900.000000
173489.546453,-1529775.414979,-26300.000000
179555.497973,-1526169.291020,-8800.000000
176061.870685,-1527292.346768,-14500.000000
166608.002740,-1535816.795778,-26500.000000
177390.392051,-1528043.617319,-18000.000000
177390.392051,-1528043.617319,-18000.000000
166985.805406,-1532100.527852,-19400.000000
180586.191744,-1526401.397701,-5000.000000
177633.832600,-1527678.716299,-20300.000000
178210.263318,-1526357.722137,-18900.000000
178385.027670,-1523963.918619,-100.000000
168790.619271,-1538394.121128,-24600.000000
177606.912235,-1528684.138538,-17900.000000
168302.579711,-1539125.861918,-21000.000000
176584.444344,-1527981.888984,-17700.000000
176839.328343,-1527955.389324,-17900.000000
172388.830790,-1533305.038702,-23800.000000
163340.557742,-1531716.035303,-25400.000000
174765.494616,-1535843.072443,-26100.000000
172831.730844,-1534522.091250,-26900.000000
167332.285871,-1542617.043558,-34400.000000
168780.943118,-1535153.833132,-27000.000000
172666.917449,-1527757.762748,-16500.000000
176352.348694,-1528685.274318,-14300.000000
175166.312782,-1539414.769355, -0.000000
180717.845370,-1533828.289109, -0.000000
170808.529388,-1537098.077349,-25300.000000
176342.381608,-1528751.007048,-19800.000000
178137.305467,-1523117.228909, -0.000000
175308.579291,-1527710.159682,-17600.000000
171758.734665,-1534147.870518,-25100.000000
171272.163937,-1531980.104609,-23500.000000
176268.325650,-1527998.576611,-17100.000000
164058.782761,-1537296.670414,-24500.000000
164776.523961,-1538357.201141,-24300.000000
178716.000525,-1527986.500647,-6500.000000
172281.567084,-1534838.508810,-18400.000000
167399.430760,-1537630.950710,-27100.000000
166721.686267,-1536307.384595,-24700.000000
165911.372258,-1538742.075984,-26100.000000
176973.504646,-1531209.068097,-12700.000000
170635.753876,-1534102.647536,-25900.000000
172315.541991,-1535855.508576,-16200.000000
170853.401625,-1535149.082249,-18100.000000
176100.425698,-1532416.762067,-12600.000000
175848.277524,-1527460.061269,-17300.000000
171349.482569,-1540154.138950,-32000.000000
174852.770857,-1528647.025874,-16400.000000
166284.942037,-1533403.879351,-20700.000000
166934.563619,-1532024.867329,-19700.000000
171014.693105,-1534500.574797,-25800.000000
169357.444020,-1536730.484885,-27600.000000
170318.116901,-1533714.554382,-26900.000000
168776.195207,-1533534.475417,-23300.000000
172616.594235,-1534285.356375,-16700.000000
172180.318334,-1535092.015218,-18200.000000
166722.813056,-1536712.448913,-24900.000000
172632.582846,-1532939.669352,-25300.000000
172705.168787,-1533288.330961,-23600.000000
173072.782825,-1533347.238976,-26200.000000
169180.967581,-1539131.702094,-16400.000000
172680.554608,-1535104.723750,-26100.000000
147154.285156,-1531998.265743, -0.000000
180441.347725,-1523217.190633, -0.000000
165882.496908,-1535632.726377,-24300.000000
169630.955285,-1529156.019236,-18400.000000
164640.681801,-1537187.737263,-24500.000000
168238.577647,-1541613.984772,-25400.000000
174707.610865,-1527950.446238,-14500.000000
173860.673206,-1533945.304505,-26500.000000
178575.159340,-1528502.460559,-11500.000000
175198.458214,-1522242.443455,-1700.000000
165998.343174,-1536933.492798,-22900.000000
165874.642076,-1536508.690814,-23200.000000
169605.116875,-1537579.907419,-17600.000000
174932.283529,-1536813.873779,-19900.000000
174839.588589,-1533697.586152,-23600.000000
172744.455113,-1512844.008035,-44200.000000
175371.196605,-1528124.134434,-18900.000000
165395.847540,-1533058.540221,-23400.000000
170128.079060,-1538271.093174,-15800.000000
169087.141578,-1538509.167535,-15400.000000
174095.778052,-1534050.360646,-24700.000000
165746.644734,-1534463.966330,-20300.000000
167108.348035,-1532120.232584,-21400.000000
172838.511341,-1536546.284603,-18500.000000
173974.623800,-1534435.445805,-23400.000000
165279.584798,-1535468.319263,-24500.000000
164023.802227,-1539586.715895,-27900.000000
176100.740673,-1535314.947247,-16500.000000
173769.455794,-1534132.934048,-25500.000000
164898.079405,-1537971.666230,-25700.000000
176203.009538,-1532567.935247,-26000.000000
174980.652442,-1533180.975538,-24400.000000
174966.565032,-1537831.106969,-18500.000000
182193.185984,-1542356.985357,-5200.000000
