x,y,z	
305409.038080,7499633.120801,-22200.000000
316612.366738,7500103.559256,-21400.000000
316267.863731,7477506.485390,-5000.000000
315407.483849,7480707.835738,-5000.000000
302028.738668,7506567.477786,-9000.000000
310289.570781,7479315.736804,-5000.000000
312080.351044,7483989.639303,-100.000000
314902.133249,7480037.177342, -0.000000
300545.257926,7517845.438047,-16700.000000
306223.207187,7500307.965842,-20700.000000
318436.589988,7485063.558006,-100.000000
316958.800576,7471312.768008,-5000.000000
316118.015403,7489908.726082,-24700.000000
320328.666252,7481431.321132,-200.000000
301788.744159,7469681.739295,-100.000000
302383.324618,7511002.264290,-20100.000000
314191.467283,7479363.986878,-5000.000000
325513.530569,7459342.363426,-100.000000
309546.019350,7473104.123626,-5000.000000
312326.788700,7480670.092788, -0.000000
300439.450802,7518065.582587, -0.000000
302894.637357,7519315.398325, -0.000000
314480.728651,7489335.148616,-5000.000000
299415.727384,7517609.298509,-15500.000000
311181.256959,7506904.151278,-17300.000000
311802.529025,7506579.520695,-18200.000000
304745.027125,7487219.986960, -0.000000
297095.705148,7521787.778559,-100.000000
319309.907285,7472116.280322, -0.000000
314171.091751,7506386.846151,-23500.000000
314856.282146,7483802.168958,-5000.000000
303759.439973,7524199.534541,-5000.000000
302539.472558,7514880.689803,-16500.000000
302389.551155,7526618.693125,-5000.000000
314066.889327,7506496.334400,-25200.000000
297258.729647,7509385.024781,-10500.000000
305676.804714,7502848.400045,-14000.000000
304220.021774,7512244.019890,-15200.000000
304752.803761,7510810.982307,-16200.000000
305068.188910,7502176.151339,-15600.000000
305063.967180,7502508.361916,-15700.000000
310132.923653,7467241.432147, -0.000000
307462.746841,7508076.299233,-15200.000000
300469.506192,7515740.100794,-19600.000000
301062.751596,7533689.958226,-100.000000
303059.753101,7514444.323610,-23000.000000
314782.928541,7506837.225982,-45800.000000
289033.379409,7508831.397100,-5000.000000
304298.914005,7506042.780100,-16200.000000
307307.871918,7487695.634123,-5000.000000
304073.770453,7499505.347772,-14800.000000
319624.283858,7480204.740059,-5000.000000
295669.449796,7528414.473900, -0.000000
302667.909592,7512888.748403,-17900.000000
306844.092458,7508179.294197,-26300.000000
297691.782671,7515593.176849,-8800.000000
303182.467495,7512895.328192,-14500.000000
316757.597102,7496561.354325,-26500.000000
300826.943794,7511979.018085,-18000.000000
300826.943794,7511979.018085,-18000.000000
316991.926423,7502766.040597,-19400.000000
295943.392159,7515459.396112,-5000.000000
300509.621636,7512639.450074,-20300.000000
299861.969887,7514956.939176,-18900.000000
300119.148162,7518947.487228,-100.000000
312587.753653,7492856.056026,-24600.000000
300325.331514,7510975.716052,-17900.000000
313220.642280,7491534.794886,-21000.000000
302166.147229,7511885.518558,-17700.000000
301753.100887,7511990.964132,-17900.000000
307846.208195,7502100.451790,-23800.000000
323063.073738,7502505.027754,-25400.000000
303366.814950,7498499.484159,-26100.000000
306841.556261,7500205.017848,-26900.000000
314012.947353,7485563.908437,-34400.000000
313345.068837,7498181.357257,-27000.000000
308657.346679,7511303.004091,-16500.000000
302387.588233,7510670.053104,-14300.000000
301899.188866,7492721.172042, -0.000000
294047.840576,7503250.514843, -0.000000
309574.223275,7495476.857430,-25300.000000
302389.009559,7510559.316018,-19800.000000
300719.737681,7520284.306094, -0.000000
304325.741244,7512023.855079,-17600.000000
308688.247102,7500560.440959,-25100.000000
309982.463553,7504009.843866,-23500.000000
302682.091321,7511781.380812,-17100.000000
320597.387211,7493505.961925,-24500.000000
319176.913551,7491938.751365,-24300.000000
298660.108462,7512393.881510,-6500.000000
307672.492295,7499550.947917,-18400.000000
315043.558294,7493771.988764,-27100.000000
316458.511156,7495782.528679,-24700.000000
317228.381499,7491583.303963,-26100.000000
300792.863405,7506662.264860,-12700.000000
310541.849242,7500361.961957,-25900.000000
307384.924765,7497886.028425,-16200.000000
309945.511991,7498693.296749,-18100.000000
301952.997104,7504462.132626,-12600.000000
303495.437842,7512567.058763,-17300.000000
307990.805153,7490583.875260,-32000.000000
304861.314785,7510369.342778,-16400.000000
317842.247332,7500450.470478,-20700.000000
317093.443304,7502877.998635,-19700.000000
309828.951956,7499799.371946,-25800.000000
312038.487858,7495728.846849,-27600.000000
311151.970632,7500923.248319,-26900.000000
313723.988960,7500843.968046,-23300.000000
307248.676621,7500542.404827,-16700.000000
307780.870260,7499109.294244,-18200.000000
316363.699397,7495116.897743,-24900.000000
307529.361016,7502760.998223,-25300.000000
307330.632094,7502204.737255,-23600.000000
306713.604146,7502196.974232,-26200.000000
311779.221287,7491738.594853,-16400.000000
306956.938374,7499209.686467,-26100.000000
349536.576832,7498026.016115, -0.000000
296904.296412,7520677.693057, -0.000000
317989.822705,7496686.810631,-24300.000000
313325.332415,7508259.328908,-18400.000000
319668.506682,7493827.268153,-24500.000000
312757.132011,7487431.302440,-25400.000000
305258.885182,7511481.912111,-14500.000000
305283.708773,7501403.606060,-26500.000000
298774.590843,7511509.317354,-11500.000000
305756.479356,7521012.908722,-1700.000000
317500.951859,7494576.773105,-22900.000000
317801.379335,7495244.845125,-23200.000000
311438.123065,7494392.435220,-17600.000000
302872.704799,7496942.537308,-19900.000000
303732.698112,7502048.365129,-23600.000000
311960.489190,7535929.684140,-44200.000000
304128.379972,7511356.822497,-18900.000000
319380.644678,7500800.916991,-23400.000000
310422.650924,7493383.101280,-15800.000000
312075.252965,7492739.007627,-15400.000000
304873.783700,7501287.639913,-24700.000000
318481.479093,7498575.355149,-20300.000000
316786.252307,7502763.585793,-21400.000000
306369.442910,7496876.426888,-18500.000000
304985.068970,7500624.525920,-23400.000000
319016.468453,7496809.735979,-24500.000000
320127.886261,7489735.039745,-27900.000000
301294.705745,7499691.069900,-16500.000000
305390.759066,7501072.701069,-25500.000000
319066.278298,7492601.926590,-25700.000000
301750.145514,7504238.001656,-26000.000000
303618.519007,7502932.948639,-24400.000000
302585.728188,7495277.480993,-18500.000000
289709.635030,7489567.525472,-5200.000000
304780.822467,7500511.170788,-23600.000000
307982.663200,7507639.790880,-11100.000000
320488.109956,7494058.411549,-25000.000000
297732.459340,7512492.490297,-16800.000000
314912.631118,7496096.147857,-26800.000000
314404.039379,7495646.985836,-28200.000000
305385.112817,7493430.519420, -0.000000
305080.857301,7501179.518947,-25200.000000
305830.149815,7498863.180777,-25700.000000
323732.295911,7497972.231010,-31200.000000
305168.214618,7502398.931587,-3100.000000
308385.161909,7491917.882166,-16100.000000
309706.884938,7501348.386028,-25600.000000
336638.997201,7502434.025872,-10800.000000
303342.650565,7500382.029356,-24500.000000
308853.883507,7503774.327863,-24800.000000
313565.521356,7496965.791183,-25800.000000
313869.879912,7497301.746412,-26100.000000
316901.509531,7493129.871568,-25000.000000
304775.181132,7500954.119480,-28000.000000
313089.423717,7493858.962218,-19100.000000
305804.889193,7500856.443498,-24700.000000
315476.072375,7492005.223032,-27500.000000
317199.228295,7494019.425550,-25700.000000
317195.254941,7494351.623481,-26700.000000
301174.643132,7501018.601827,-19900.000000
326564.365939,7502101.934679,-15100.000000
319391.084724,7499915.068826,-19100.000000
303375.347680,7497835.055598,-22600.000000
305361.252540,7503398.172504,-28800.000000
299726.349646,7493800.430005,-21700.000000
313376.133046,7495634.477051,-29100.000000
316649.494127,7497003.053062,-28800.000000
317581.279954,7496460.449361,-26400.000000
305904.914675,7501079.219116,-25300.000000
312304.772799,7499165.396752,-27800.000000
319059.719835,7493155.586752,-24500.000000
304670.939446,7501063.546797,-25000.000000
304444.097197,7502721.982788,-26500.000000
306450.703321,7506734.556711,-27300.000000
