x,y,z	
-5126.617818,8729.431299,-22200.000000
6076.710815,9199.865681,-21400.000000
5732.207748,-13397.208051,-5000.000000
4871.827876,-10195.857388,-5000.000000
-8506.917200,15663.789448,-9000.000000
-246.085183,-11587.954432,-5000.000000
1544.695087,-6914.052590,-100.000000
4366.477276,-10866.515590, -0.000000
-9990.397909,26941.750214,-16700.000000
-4312.448712,9404.276059,-20700.000000
7900.934023,-5840.136265,-100.000000
6423.144576,-19590.925701,-5000.000000
5582.359454,-994.967306,-24700.000000
9793.010274,-9472.373864,-200.000000
-8746.911799,-21221.948960,-100.000000
-8152.331241,20098.575833,-20100.000000
3655.811310,-11539.705789,-5000.000000
14977.874527,-31561.333613,-100.000000
-989.636628,-17799.567340,-5000.000000
1791.132734,-10233.599186, -0.000000
-10096.205033,27161.894795, -0.000000
-7641.018482,28411.709697, -0.000000
3945.072703,-1568.544154,-5000.000000
-11119.928448,26705.611064,-15500.000000
645.601064,16000.459722,-17300.000000
1266.873127,15675.828915,-18200.000000
-5790.628801,-3683.702309, -0.000000
-13439.950665,30884.091880,-100.000000
8774.251284,-18787.414278, -0.000000
3635.435848,15483.153498,-23500.000000
4320.626182,-7101.523959,-5000.000000
-6776.215858,33295.845620,-5000.000000
-7996.183291,23977.001293,-16500.000000
-8146.104664,35715.004675,-5000.000000
3531.233425,15592.641779,-25200.000000
-13276.926196,18481.338043,-10500.000000
-4858.851176,11944.710452,-14000.000000
-6315.634088,21340.330803,-15200.000000
-5782.852106,19907.293040,-16200.000000
-5467.466980,11272.461958,-15600.000000
-5471.688710,11604.672539,-15700.000000
-402.732341,-23662.259035, -0.000000
-3072.909042,17172.609008,-15200.000000
-10066.149649,24836.412988,-19600.000000
-9472.904201,42786.270228,-100.000000
-7475.902751,23540.634922,-23000.000000
4247.272638,15933.533099,-45800.000000
-21502.276395,17927.712987,-5000.000000
-6236.741872,15139.090990,-16200.000000
-3227.784016,-3208.056043,-5000.000000
-6461.885440,8601.658735,-14800.000000
9088.627878,-10698.954667,-5000.000000
-14866.205993,37510.787688, -0.000000
-7867.746264,21985.059856,-17900.000000
-3691.563422,17275.604196,-26300.000000
-12843.873158,24689.489969,-8800.000000
-7353.188362,21991.639465,-14500.000000
6221.941169,5657.660698,-26500.000000
