X	Y	
282126.023752	7529632.105767	
282602.349964	7523135.024797	
284115.861794	7520589.201642	
285720.554567	7518481.394117	
287659.164283	7516169.927619	
288717.476071	7514149.057564	
289775.736931	7512128.246250	
292035.426741	7509938.578166	
292998.440540	7507588.459735	
294078.755683	7505025.883508	
295610.208150	7502047.164334	
299929.508868	7499941.006784	
302705.029138	7498424.407354	
305927.020479	7496600.137111	
307054.677754	7495560.017647	
311795.007215	7491083.469518	
314028.266283	7489545.491582	
315520.481649	7487543.529282	
320515.615088	7484815.110102	
324902.799381	7483690.540850	
328862.202293	7479727.126861	
332187.473741	7478017.281382	
335147.923986	7477269.454035	
340829.804827	7476306.921514	
343431.633764	7473700.138673	
345376.750976	7468571.218763	
349274.038808	7466126.260084	
352435.183038	7463109.107714	
357293.694814	7461029.615069	
