#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=GEOFON,http://geofon.gfz-potsdam.de
AF|MSNA|-22.3452|30.0232|600.0|Station Musinna, South Africa|2007-05-07T12:54:00|2599-12-31T23:59:59
AF|POGA|-27.346|31.707|290.0|Station Pongola, South Africa|2007-04-04T09:07:00|2014-06-05T00:00:00
GE|WIN|-22.5691|17.0915|1720.0|GSN/GEOFON Station GSN, GEOFON Station Windhoek/Namibia|2008-01-01T00:00:00|2599-12-31T23:59:59

#DATACENTER=IRISDMC,http://ds.iris.edu
8A|GAMM|-20.2505|20.8253|1065.3|Namibia|2015-05-04T00:00:00|2018-12-31T23:59:59
8A|HOCH|-21.4902|17.8531|1563.7|Namibia|2015-05-03T00:00:00|2018-12-31T23:59:59
8A|KANO|-19.194901|19.4398|1142.9|Namibia|2015-05-06T00:00:00|2018-12-31T23:59:59
8A|NEPA|-17.7703|18.4597|1129.3|Namibia|2015-05-01T00:00:00|2018-12-31T23:59:59
8A|OKAM|-20.407301|18.2187|1302.8|Namibia|2015-05-02T00:00:00|2018-12-31T23:59:59
8A|WEWE|-21.209|16.809099|1400.5|Namibia|2015-05-06T00:00:00|2018-12-31T23:59:59
AF|BLWY|-20.143|28.6113|1348.0|Bulawayo, Zimbabwe|2012-01-01T00:00:00|2599-12-31T23:59:59
AF|CNG|-26.2917|32.1883|120.0|Changalane Maputo Province Mozambique|2005-11-03T00:00:00|2599-12-31T23:59:59
AF|CRLN|-25.9949|30.022699|1600.0|Carolina, Mapumpalanga, South Africa|2015-05-14T10:00:00|2599-12-31T23:59:59
AF|HVD|-30.605|25.497|1433.0|Gariep Dam CMG-40T Earth data Low gain|2006-04-26T00:00:00|2599-12-31T23:59:59
AF|MONG|-15.15|23.09|1046.0|Mongu, Zambia, Africa|2010-08-25T00:00:00|2599-12-31T23:59:59
AF|MOPA|-23.517|31.398|362.0|Mopani Camp, Kruger National Park, RSA|2017-03-15T00:00:00|2599-12-31T23:59:59
AF|MUSN|-22.28784|29.859987|592.0|Musina, Limpopo, South Africa|2016-06-02T00:00:00|2599-12-31T23:59:59
AF|PKA|-29.67|22.757|960.0|Prieska CMG-40T Earth data Low gain|2006-10-16T00:00:00|2018-09-07T00:00:00
AF|POGA|-27.346|31.707|290.0|Pongola, Kwazulu-Natal, South Africa|2014-06-05T00:00:00|2599-12-31T23:59:59
AF|RUDU|-17.909599|19.764799|1100.0|Rundu, Ovamboland, Namibia|2007-01-01T00:00:00|2018-09-10T00:00:00
AF|SNKL|-28.27528|27.7714|1655.0|Senekal, Freestate Province, South Africa|2015-12-09T00:00:00|2599-12-31T23:59:59
AF|SWZ|-27.181999|25.332001|1342.0|Schweizer Reneke CMG-40T Earth data Low gain|2006-02-08T00:00:00|2599-12-31T23:59:59
AF|TEZI|-15.747|26.016001|1115.6|Itezhi-tezhi, Zambia|2006-01-10T00:00:00|2599-12-31T23:59:59
AF|UPI|-28.362|21.253|845.0|Upington KS2000 Earth data Low gain|2016-12-08T12:00:00|2599-12-31T23:59:59
AF|WDLM|-26.424|27.422|1680.0|Western deep levels CMG-3T Earth data Low gain|2009-12-08T00:00:00|2018-08-21T12:00:00
AF|WIN|-22.5667|17.1|1728.0|Windhoek, Namibia|2004-09-01T00:00:00|2599-12-31T23:59:59
GT|BOSA|-28.6141|25.2555|1305.8|Boshof, South Africa|1993-02-26T00:00:00|2599-12-31T23:59:59
GT|LBTB|-25.015124|25.596598|1148.3|Lobatse, Botswana|2011-06-14T11:16:00|2599-12-31T23:59:59
IU|LSZ|-15.2779|28.1882|1200.0|Lusaka, Zambia|1994-08-05T00:00:00|2599-12-31T23:59:59
IU|TSUM|-19.2022|17.5838|1260.0|Tsumeb, Namibia|1994-08-19T00:00:00|2599-12-31T23:59:59
NR|NE201|-24.515341|23.932789|980.0|Sekoma|2013-10-20T00:00:00|2599-12-31T23:59:59
NR|NE202|-24.11351|21.782303|1153.0|Lokgwabe|2014-01-11T00:00:00|2599-12-31T23:59:59
NR|NE203|-22.993059|20.195551|1313.0|Kole|2014-01-15T00:00:00|2599-12-31T23:59:59
NR|NE204|-18.53956|21.338223|1060.0|Xaudum|2015-03-18T00:00:00|2599-12-31T23:59:59
NR|NE205|-18.62088|23.500484|961.0|Selinda|2015-08-15T00:00:00|2599-12-31T23:59:59
NR|NE206|-17.800171|25.161894|1006.0|Kasane|2015-08-27T00:00:00|2599-12-31T23:59:59
NR|NE207|-19.52956|21.174|1094.0|Qangwa|2015-11-23T00:00:00|2599-12-31T23:59:59
NR|NE208|-21.9464|25.446911|1083.0|Khwee|2014-02-13T00:00:00|2599-12-31T23:59:59
NR|NE209|-21.403549|23.771767|1005.0|CKGR|2015-03-14T00:00:00|2599-12-31T23:59:59
NR|NE210|-21.36191|21.215712|1198.0|Groot Laagt|2015-03-12T00:00:00|2599-12-31T23:59:59
NR|NE211|-22.853821|22.206787|1153.0|Kacgae|2013-11-24T00:00:00|2599-12-31T23:59:59
NR|NE212|-23.38039|24.660793|1038.0|Kaudwane|2014-02-15T00:00:00|2599-12-31T23:59:59
NR|NE213|-25.475531|22.857294|1030.0|Phepheng|2013-11-23T00:00:00|2599-12-31T23:59:59
