#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
GT|LBTB|-25.015124|25.596598|1148.3|Lobatse, Botswana|2011-06-14T11:16:00|2599-12-31T23:59:59
NR|NE201|-24.515341|23.932789|980.0|Sekoma|2013-10-20T00:00:00|2599-12-31T23:59:59
NR|NE208|-21.9464|25.446911|1083.0|Khwee|2014-02-13T00:00:00|2599-12-31T23:59:59
NR|NE209|-21.403549|23.771767|1005.0|CKGR|2015-03-14T00:00:00|2599-12-31T23:59:59
NR|NE211|-22.853821|22.206787|1153.0|Kacgae|2013-11-24T00:00:00|2599-12-31T23:59:59
NR|NE212|-23.38039|24.660793|1038.0|Kaudwane|2014-02-15T00:00:00|2599-12-31T23:59:59
NR|NE213|-25.475531|22.857294|1030.0|Phepheng|2013-11-23T00:00:00|2599-12-31T23:59:59
NR|NE216|-20.195681|24.537193|956.0|Phuduhudu|2014-02-09T00:00:00|2599-12-31T23:59:59
NR|NE217|-21.09967|27.33424|1047.0|Borolong|2015-08-24T00:00:00|2599-12-31T23:59:59
NR|NE218|-20.562851|26.21785|941.0|Sowa|2014-02-10T00:00:00|2599-12-31T23:59:59
NR|NE219|-22.56967|27.446815|911.0|Moremi|2015-08-23T00:00:00|2599-12-31T23:59:59
NR|NE220|-23.363029|25.859613|1020.0|Lephepe|2013-02-22T00:00:00|2599-12-31T23:59:59
ZT|MARA|-24.461632|27.575478|1462.0|Verloren, Limpopo, South Africa|2015-01-01T00:00:00|2020-12-31T23:59:59
ZT|MRCO|-25.47234|26.400268|1333.0|Great Marico, North-West Province, South AFrica|2017-03-29T19:00:00|2020-12-31T23:59:59
ZT|NHAM|-24.91566|27.31703|1001.0|Northam, Limpopo Province, South Africa|2017-03-26T00:00:00|2020-12-31T23:59:59
ZT|NYAT|-25.36745|27.5669|1000.0|Nyati, North-West Province, South Africa|2017-03-30T00:00:00|2020-12-31T23:59:59
